Date	Title	Distance	Calories	Time	Avg HR	Max HR	Avg Pace
2020-11-29 8:27	Brooke-Elgin-Darcy-Lakeshore	7.47	492	0:45:45	143	156	6:08
2020-11-25 11:46	Lakeshore 5k	4.69	326	0:29:42	145	175	6:20
2020-11-22 11:44	Lucas Pt	5.69	381	0:35:59	140	153	6:20
2020-11-21 10:48	Lucas Pt	5.78	395	0:35:05	145	155	6:04
2020-11-16 9:33	Lakeshore 5k	4.47	302	0:28:44	139	149	6:25
2020-11-08 10:39	Lucas Pt	5.74	380	0:35:01	139	149	6:06
2020-11-07 9:45	Lakeshore 5k	4.61	306	0:26:24	146	158	5:44
2020-11-06 15:04	Lakeshore 5k	4.69	334	0:26:54	152	166	5:44
2020-11-04 15:16	Oxford Cup	4.47	293	0:23:46	153	172	5:19
2020-10-30 16:01	Oxford Cup	4.74	303	0:25:24	148	166	5:22
2020-10-25 14:46	Lakeshore 5k	4.68	307	0:26:01	146	158	5:33
2020-10-24 16:59	Lakeshore 5k	4.47	286	0:25:55	141	155	5:48
2020-10-21 15:14	Oxford Cup	4.78	297	0:24:05	154	182	5:02
2020-10-16 14:42	FD Loops x 5	5.56	349	0:29:21	149	169	5:17
2020-10-14 14:50	Trinity3 x 3	4.36	319	0:26:22	151	168	6:02
2020-10-12 10:28	Massassauga Rd - Cemetary run	5.97	374	0:34:52	139	150	5:51
2020-10-10 9:47	Lakeshore 5k	4.43	279	0:23:47	146	163	5:22
2020-10-09 10:21	Lucas Pt	5.76	376	0:31:49	147	160	5:32
2020-10-06 16:03	Oxford Cup	4.76	304	0:27:49	141	167	5:51
2020-10-02 14:41	FD Loops x 6	5.44	330	0:28:18	149	171	5:12
2020-09-28 15:52	Oxford Cup	4.94	307	0:24:26	159	175	4:57
2020-09-27 9:43	Lucas Pt	5.72	383	0:34:03	144	154	5:57
2020-09-24 16:10	Oxford Cup + Lower loop	6.72	428	0:41:14	139	171	6:08
2020-09-23 15:29	Oxford Cup	4.73	322	0:28:01	148	164	5:55
2020-09-19 9:55	Limerick - Marina Run	9.38	655	0:59:15	152	184	6:19
2020-09-17 15:35	Oxford Cup	4.85	326	0:30:07	141	165	6:13
2020-09-16 15:10	Trinity3 x 4	5.19	378	0:32:27	150	170	6:15
2020-09-15 16:13	Oxford Cup	4.77	323	0:28:47	145	165	6:02
2020-09-10 16:31	Oxford Cup	4.11	269	0:23:31	149	175	5:43
2020-08-28 10:39	Limerick - Bretts Ln d-back	5.63	386	0:37:10	142	162	6:36
2020-08-26 11:06	Limerick - Marathon 2 loops	6.87	475	0:45:51	143	159	6:40
2020-08-25 10:25	Limerick - Hell's Gate	5.04	340	0:33:28	142	157	6:38
2020-08-23 9:53	Limerick - Marina Run	9.38	638	1:00:12	144	166	6:25
2020-08-22 14:10	Limerick - Bretts Ln d-back	5.73	404	0:35:11	149	165	6:09
2020-08-20 9:35	Brook-Elgin-Darcy-King	6.68	404	0:40:05	137	153	6:00
2020-08-19 9:40	Lakeshore 5k	4.66	289	0:27:27	139	150	5:54
2020-08-18 10:29	Lucas Pt	5.7	361	0:33:22	144	153	5:51
2020-07-22 9:04	Limerick - Brett's Ln d-back	5.68	382	0:36:30	144	159	6:26
2020-07-21 9:20	Limerick - Brett's Ln d-back	5.66	368	0:35:46	142	165	6:19
2020-07-19 9:33	Limerick - Lakeshore rd west	4.72	313	0:33:23	137	154	7:04
2020-07-18 9:17	Limerick - Marathon 2 loops	6.8	498	0:47:05	147	162	6:55
2020-07-16 9:55	Limerick - Brett's Ln d-back	5.64	397	0:36:11	148	175	6:25
2020-07-15 8:43	Limerick - Brett's Ln d-back	5.72	385	0:37:25	140	159	6:32
