Date	Title	Distance	Calories	Time	Avg HR	Max HR	Avg Pace
2021-05-27 9:25	Lakeshore 5k	4.72	299	0:25:33	154	164	5:25
2021-05-25 10:26	Lakeshore 5k	4.69	303	0:26:19	152	162	5:37
2021-05-23 9:20	Limerick - Hells gate	5.1	375	0:32:56	155	169	6:27
2021-05-21 9:07	Limerick - Hells gate	5.03	388	0:33:07	156	172	6:35
2021-05-18 10:29	Lakeshore 5k	4.64	305	0:27:11	149	160	5:52
2021-05-15 9:16	Lakeshore 5k	4.65	308	0:27:07	152	163	5:50
2021-05-12 14:42	Lakeshore 5k	4.6	315	0:27:48	151	165	6:02
2021-05-08 9:57	Limerick Marathon - CW loop	3.4	266	0:26:10	146	167	7:42
2021-04-28 10:08	Lakeshore 5k	4.61	306	0:27:38	150	163	5:59
2021-04-26 13:10	Lakeshore 5k	4.65	305	0:27:38	149	158	5:57
2021-04-23 13:49	Lakeshore 5k	4.64	311	0:28:18	150	162	6:06
2021-04-22 10:02	Lakeshore 5k	4.05	309	0:28:27	151	160	7:01
2021-04-20 10:24	Lakeshore 5k	4.63	317	0:27:22	154	162	5:55
2021-04-18 11:33	Lakeshore 5k	4.64	309	0:26:34	155	167	5:43
2021-04-17 11:23	Lakeshore 5k	4.64	328	0:27:57	155	164	6:01
2021-04-13 15:20	Lakeshore 5k	4.67	329	0:28:05	153	160	6:01
2021-04-10 11:25	Lucas Pt	5.79	428	0:36:58	155	170	6:23
2021-04-08 9:32	Lakeshore 5k	4.71	337	0:28:08	155	170	5:59
2021-04-06 13:21	Lakeshore 5k	4.23	315	0:26:02	157	167	6:09
2021-03-25 9:59	D'Arcy short job	2.52	198	0:17:50	146	162	7:04
2021-02-15 11:22	Lakeshore 5k	4.39	319	0:26:25	152	163	6:01
2021-02-13 13:07	Lakeshore 5k	4.42	318	0:27:13	146	158	6:09
2021-01-23 11:23	Lakeshore 5k	4.41	303	0:26:32	142	151	6:01
2021-01-21 8:55	Lakeshore 5k	4.35	311	0:25:55	149	159	5:58
2021-01-19 13:03	Lakeshore 5k - high road	3.95	272	0:23:46	142	153	6:01
2021-01-17 10:54	Library Run	6.62	446	0:38:11	145	162	5:46
2021-01-16 10:32	Lucas Pt	5.72	419	0:34:16	150	160	6:00
2021-01-13 10:30	Lakeshore 5k	4.4	305	0:27:00	138	149	6:08
2021-01-12 10:17	Lakeshore 5k	4.39	302	0:26:01	142	153	5:55
2021-01-10 10:52	Lucas Pt	5.75	418	0:36:03	142	151	6:16
2021-01-09 10:54	Lakeshore 5k	4.39	310	0:25:30	146	154	5:48
2021-01-07 10:54	Lakeshore 5k	4.42	321	0:25:51	147	156	5:51
2021-01-05 10:46	Lakeshore 5k	4.22	297	0:24:51	141	158	5:53
2021-01-04 15:18	Lakeshore 5k	4.37	327	0:25:13	148	156	5:47
