Date	Title	Distance	Calories	Time	Avg HR	Max HR	Avg Pace
2021-11-21 10:34	Cobourg Running	4.67	322	0:26:33	150	162	5:41
2021-11-12 14:10	Cobourg Running	5.72	390	0:33:29	147	159	5:51
2021-11-10 15:51	Half marathon relay	5.83	371	0:28:16	160	184	4:51
2021-10-27 16:58	Lakeshore 5k	4.61	310	0:24:32	156	170	5:19
2021-10-23 13:44	Cobourg Running	6.63	471	0:36:19	159	169	5:29
2021-10-10 11:47	Massassauga run	4.99	337	0:26:53	156	172	5:23
2021-10-08 14:07	Lakeshore 5k	4.23	300	0:24:55	149	162	5:53
2021-10-05 16:48	Molly Lane intervals	4.51	348	0:27:31	154	171	6:06
2021-10-02 8:35	Blue Mountains Running	5.17	338	0:29:05	146	158	5:38
2021-09-25 15:10	Limerick Marathon - 2021	16.87	1613	1:59:35	164	190	7:05
2021-09-19 8:59	Lucas Pt	5.72	389	0:32:51	147	156	5:44
2021-09-18 9:16	Library Run	6.63	459	0:37:33	152	165	5:40
2021-09-16 15:52	Port Hope Running	3.69	286	0:23:24	152	174	6:20
2021-09-14 15:32	Oxford Cup	4.56	332	0:27:16	153	174	5:59
2021-09-12 10:09	Lucas Pt	5.72	401	0:33:27	150	159	5:51
2021-09-06 9:55	Lakeshore 5k	4.66	318	0:27:10	147	157	5:50
2021-09-04 9:37	Limerick - Marathon - 2 loops	6.82	566	0:48:05	152	170	7:03
2021-08-25 11:34	Limerick - Hells gate	5.08	383	0:34:27	144	159	6:47
2021-08-24 9:06	Limerick - Hells gate	5.06	384	0:32:17	151	161	6:23
2021-08-20 10:37	Limerick Marathon CW Loop	3.47	268	0:21:28	154	168	6:11
2021-08-19 11:29	Limerick - Hells gate	5.63	401	0:31:12	155	175	5:32
2021-08-17 10:41	Limerick - 62	5.99	382	0:30:54	152	167	5:09
2021-08-16 10:15	Limerick Marathon - 2 loops	6.79	535	0:48:13	144	158	7:06
2021-08-15 10:25	Lakeshore 5k	4.63	329	0:27:40	145	169	5:58
2021-08-12 11:49	Limerick - Marina Run	8.15	635	0:55:39	146	161	6:50
2021-08-10 9:22	Limerick - Red Gate X3	5.6	433	0:38:43	143	156	6:55
2021-08-09 9:12	Limerick - Red Gate X3	5.62	447	0:37:43	148	160	6:43
2021-08-08 9:18	Limerick - 62	5.99	416	0:33:48	150	162	5:38
2021-08-06 10:04	Limerick - Red Gate x3	5.74	462	0:40:22	146	165	7:02
2021-08-05 11:01	Limerick - Red Gate x3	5.79	473	0:37:55	152	167	6:33
2021-08-03 8:04	Limerick - 62	6	430	0:37:48	138	153	6:18
2021-08-02 8:12	Limerick - 62	6.02	406	0:32:03	152	170	5:19
2021-07-30 10:42	Lakeshore 5k	4.19	286	0:23:52	144	153	5:42
2021-07-24 9:57	Limerick Running	5.79	425	0:34:28	150	164	5:57
2021-07-22 9:46	Limerick - 62	6.02	425	0:35:43	145	157	5:56
2021-07-21 8:16	Limerick - 62	6.05	396	0:33:13	146	159	5:29
2021-07-18 11:23	Limerick Walking	2.66	301	0:28:55	138	164	10:51
2021-07-17 10:27	Limerick 62	5.99	411	0:35:12	146	158	5:53
2021-07-15 9:31	Limerick Running	6.3	482	0:43:28	144	159	6:54
2021-07-14 9:56	Limerick - Marathon 2 loops	6.8	560	0:46:52	151	169	6:54
2021-07-11 10:03	Lakeshore 5k	4.64	310	0:26:34	145	153	5:44
2021-07-08 8:55	Limerick - Hells Gate	5.2	369	0:35:41	139	152	6:52
2021-07-05 9:53	Limerick - Hells Gate	5.5	372	0:34:42	140	152	6:18
2021-07-04 9:30	Limerick - Marina run	9.33	659	1:01:18	145	158	6:34
2021-07-02 11:16	Limerick Marathon - CW	3.38	254	0:23:50	142	156	7:04
2021-07-01 9:35	Limerick - Hells Gate	5.33	371	0:34:53	143	157	6:33
2021-06-29 10:04	Limerick Marathon - 2 loops	6.76	524	0:48:48	145	162	7:13
2021-06-27 9:57	Limerick - Hells Gate	5.32	389	0:36:21	145	158	6:50
2021-06-21 9:38	Northumberland Green A	12.97	1049	1:31:57	154	173	7:06
2021-06-19 9:11	Limerick - Marina Run	9.41	707	1:00:04	151	167	6:23
2021-06-16 11:10	Lakeshore 5k	4.68	306	0:26:54	144	155	5:45
2021-06-13 9:48	Limerick - Hells gate	5.18	382	0:34:19	146	158	6:38
2021-06-12 9:56	Limerick Marathon - 2 Loops	6.92	544	0:46:57	150	168	6:47
2021-06-10 9:20	Lakeshore 5k	4.65	318	0:26:56	149	160	5:47
2021-06-08 12:51	Lakeshore 5k	4.63	302	0:25:40	149	162	5:33
2021-06-06 10:00	Lakeshore 5k	4.63	310	0:26:07	151	162	5:39
2021-06-05 10:17	Lakeshore 5k	4.65	311	0:26:33	149	159	5:43
2021-06-02 10:07	Lucas Pt - short	4.34	290	0:25:29	148	154	5:52
2021-06-01 10:17	Lakeshore 5k	4.63	302	0:26:58	147	158	5:50
2021-05-30 9:54	Limerick - Hells Gate	5.14	368	0:32:53	150	163	6:24
2021-05-29 9:45	Limerick - Marina Run	9.27	686	0:58:53	156	169	6:21
