Date	Title	Distance	Calories	Time	Avg HR	Max HR	Avg Pace
2018-03-03 16:11	Lucas Pt	5.76	407	0:32:13	157	175	5:36
2018-02-19 10:03	Lakeshore 5K	4.9	328	0:31:08	135	162	6:21
2018-02-18 15:09	Lucas Pt	5.8	379	0:34:38	140	159	5:58
2018-02-17 8:23	Cobourg Library Run	6.76	497	0:39:57	157	176	5:55
2018-02-15 15:59	Lakeshore 5K	4.82	316	0:23:51	163	177	4:57
2018-02-03 15:16	Lakeshore 5K	4.9	290	0:25:07	145	154	5:08
2018-01-28 15:43	Lakeshore 5K	4.93	327	0:27:29	150	172	5:35
2018-01-26 13:57	TCS-Cavan-HopeN loop	3.88	246	0:21:50	142	158	5:38
2018-01-21 10:04	Lakeshore 5K	4.94	334	0:35:27	130	148	7:11
2018-01-20 14:58	Brooke-D'Arcy Short	6.74	507	0:42:20	156	169	6:17
2018-01-19 8:56	Lakeshore 5K	4.9	323	0:26:40	153	171	5:26
2018-01-14 14:27	Lakeshore 5K	4.89	304	0:26:00	148	171	5:19
2018-01-04 10:54	Lakeshore 5K	4.96	347	0:29:09	150	171	5:52
